"id_order","brand_cat"
305873,"Pack accessories"
300176,"Kanex accessories"
305873,"Kingston accessories"
305878,"NewerTech accessories"
305883,"Moshi accessories"
305887,"Twelve South accessories"
305878,"Kanex accessories"
305891,"Western Digital accessories"
305891,"LaCie accessories"
305891,"OWC accessories"
305883,"Apple accessories"
305903,"Seagate accessories"
305906,"Urban Armor Gear accessories"
305918,"Apple accessories"
305918,"Apple accessories"
305936,"Samsung accessories"
305936,"NewerTech accessories"
305973,"LG display"
305973,"Apple accessories"
305903,"Kingston accessories"
305973,"TP-Link accessories"
305768,"OWC accessories"
305906,"Kenu Airframe accessories"
306002,"Apple accessories"
306002,"Apple accessories"
306002,"Apple accessories"
306019,"Wowewa accessories"
306019,"Belkin accessories"
305768,"OWC accessories"
306025,"Apple accessories"
306025,"BenQ display"
306037,"Twelve South accessories"
306037,"Kanex accessories"
306037,"Satechi accessories"
306053,"Apple accessories"
306054,"Apple accessories"
306054,"Apple accessories"
306055,"Apple accessories"
306055,"Satechi accessories"
306055,"Apple accessories"
306063,"iOttie accessories"
306063,"Belkin accessories"
305620,"Western Digital accessories"
305620,"Satechi accessories"
305620,"Jaybird accessories"
305887,"Nomad accessories"
306117,"Wacom accessories"
306117,"Wacom accessories"
306122,"Belkin accessories"
306122,"Incase accessories"
306122,"Spek SeeThru accessories"
306135,"Apple tablet"
306142,"Philips accessories"
306142,"Philips accessories"
306142,"Philips accessories"
306135,"Adonit accessories"
306152,"Belkin accessories"
303198,"Belkin accessories"
303198,"Apple accessories"
306183,"Belkin accessories"
306183,"Belkin accessories"
306223,"Pack accessories"
306223,"FCM accessories"
306245,"Netatmo accessories"
306245,"TrackR accessories"
306272,"Lexar accessories"
306272,"Lexar accessories"
306296,"Thule accessories"
306296,"Apple accessories"
306303,"Otterbox accessories"
306303,"Moxie accessories"
306334,"Belkin accessories"
306334,"Griffin accessories"
306359,"Kanex accessories"
306359,"iOttie accessories"
306386,"Griffin accessories"
306387,"Moshi accessories"
306387,"Belkin accessories"
306386,"Apple accessories"
